cod_sku,claim_type,claim_text
7K2N9A,publico_alvo,Homens que buscam uma fragrância marcante e sofisticada para o dia a dia.
7K2N9A,descricao,"Desodorante colônia Malbec com notas amadeiradas, especiadas e acentuadas de vinho tinto."
7K2N9A,como_usar,"Aplicar sobre a pele limpa e seca, especialmente nas regiões do pulso, pescoço e tórax."
7K2N9A,beneficios,Fragrância intensa de longa duração com fixação prolongada e sensação refrescante.
7K2N9A,restricoes,Uso externo. Evitar contato com os olhos e mucosas. Manter fora do alcance de crianças.
Q4H8L2,publico_alvo,Homens que apreciam perfumaria premium com assinatura amadeirada e elegante.
Q4H8L2,descricao,"Eau de Parfum Malbec 90ml com acordes de bergamota, lavanda, gerânio e base amadeirada."
Q4H8L2,como_usar,"Borrife a 20 cm da pele em pontos de pulsação: pulsos, pescoço e atrás das orelhas."
Q4H8L2,beneficios,Alta concentração de essências para fixação superior e evolução olfativa sofisticada.
Q4H8L2,restricoes,Produto inflamável. Não aplicar sobre pele irritada ou lesionada.
3R1B6M,publico_alvo,Homens exigentes que valorizam exclusividade e perfumaria de alta perfumaria.
3R1B6M,descricao,Malbec Signature Eau de Parfum com blend refinado de notas amadeiradas e especiarias nobres.
3R1B6M,como_usar,Aplicar sobre pele hidratada em pontos estratégicos para intensificar a projeção.
3R1B6M,beneficios,Assinatura olfativa única com longa permanência e sofisticação marcante.
3R1B6M,restricoes,"Uso externo. Em caso de irritação, suspenda o uso e consulte um dermatologista."
W9C5TD,publico_alvo,Homens que desejam uma fragrância dourada e envolvente para ocasiões especiais.
W9C5TD,descricao,Malbec Gold Desodorante Colônia com nuances ambaradas e acentos especiados intensos.
W9C5TD,como_usar,"Pulverizar sobre a pele limpa após o banho, evitando friccionar a área aplicada."
W9C5TD,beneficios,Fragrância sofisticada com boa projeção e sensação de frescor duradouro.
W9C5TD,restricoes,"Não ingerir. Manter em local fresco, ao abrigo de luz solar direta."
5J8P2X,publico_alvo,Homens jovens e modernos que preferem fragrâncias intensas e contemporâneas.
